                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    141,                0.76263,                0.59963,                0.89778,                0.86471,                0.83218,                0.87848,                0.68704,                0.86847,                0.94623,                 1.0244,               0.005413,               0.005413,               0.005413
                    142,                0.75659,                0.58839,                0.89221,                0.85831,                0.83155,                0.87931,                0.69318,                0.86592,                0.93045,                 1.0243,                0.00538,                0.00538,                0.00538
                    143,                0.75641,                0.59243,                0.89401,                0.88466,                0.81512,                0.88422,                0.69318,                0.87385,                0.94861,                 1.0358,               0.005347,               0.005347,               0.005347
                    144,                0.75789,                0.58881,                0.89316,                0.84518,                0.83643,                0.88104,                0.68998,                0.87046,                 0.9491,                 1.0318,               0.005314,               0.005314,               0.005314
                    145,                0.75768,                0.59232,                0.89819,                0.87678,                0.81753,                0.88064,                0.69033,                0.86603,                0.95171,                 1.0301,               0.005281,               0.005281,               0.005281
                    146,                0.75293,                0.59096,                0.89607,                0.87781,                 0.8146,                0.87931,                0.69478,                0.85594,                0.95609,                 1.0207,               0.005248,               0.005248,               0.005248
                    147,                 0.7456,                0.57748,                0.89233,                0.85878,                0.83978,                 0.8857,                 0.6933,                0.87517,                0.94397,                 1.0402,               0.005215,               0.005215,               0.005215
                    148,                0.75306,                0.58645,                0.89503,                0.88452,                0.81358,                 0.8791,                0.68762,                0.87438,                0.93882,                 1.0404,               0.005182,               0.005182,               0.005182
                    149,                0.75217,                 0.5859,                0.89251,                0.87148,                 0.8255,                0.88875,                 0.6976,                0.88097,                0.91749,                 1.0383,               0.005149,               0.005149,               0.005149
                    150,                0.74528,                0.57715,                0.89253,                0.86267,                0.84114,                0.88813,                0.69592,                0.87612,                0.91071,                   1.04,               0.005116,               0.005116,               0.005116
                    151,                0.75378,                0.58411,                 0.8933,                0.88159,                 0.8212,                0.88359,                0.69526,                0.86949,                0.93291,                 1.0348,               0.005083,               0.005083,               0.005083
                    152,                0.74912,                0.58219,                0.89144,                0.84802,                0.83803,                 0.8817,                0.69197,                0.87955,                0.92572,                 1.0459,                0.00505,                0.00505,                0.00505
                    153,                0.74651,                0.57968,                0.89251,                0.86947,                 0.8311,                0.88358,                0.69162,                 0.8663,                0.92169,                 1.0357,               0.005017,               0.005017,               0.005017
